               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.021054,              0.0104,            0.002688,             0.94328,             0.94864,             0.95826,             0.66009,            0.023315,            0.013706,           0.0029495,            0.002179,            0.002179,            0.002179
                  81,            0.021021,            0.010248,           0.0027425,             0.94654,             0.94536,             0.96251,             0.65649,            0.023624,            0.013654,           0.0029994,             0.00208,             0.00208,             0.00208
                  82,            0.020897,            0.010145,           0.0025734,             0.94827,             0.95218,             0.96321,             0.66166,            0.023241,            0.013509,           0.0028371,            0.001981,            0.001981,            0.001981
                  83,            0.020681,             0.01035,           0.0025563,             0.94529,             0.94945,             0.96213,              0.6589,            0.023374,             0.01362,           0.0026956,            0.001882,            0.001882,            0.001882
                  84,            0.020729,            0.010326,           0.0026044,             0.94186,             0.95221,             0.96041,             0.66173,             0.02329,            0.013592,           0.0027401,            0.001783,            0.001783,            0.001783
                  85,            0.020571,            0.010086,           0.0025657,             0.94319,             0.94575,             0.96163,             0.65934,            0.023324,            0.013754,           0.0029094,            0.001684,            0.001684,            0.001684
                  86,             0.02036,             0.01002,            0.002501,             0.94807,             0.94731,             0.96169,             0.65932,             0.02343,            0.013617,           0.0028362,            0.001585,            0.001585,            0.001585
                  87,            0.020427,            0.010086,           0.0025941,              0.9522,             0.95268,              0.9622,             0.65554,            0.023287,            0.013673,            0.002708,            0.001486,            0.001486,            0.001486
                  88,            0.020308,            0.010217,           0.0025812,             0.94577,             0.94911,             0.96023,             0.65861,            0.023332,            0.013722,           0.0028933,            0.001387,            0.001387,            0.001387
                  89,            0.020461,            0.010016,           0.0026056,             0.94196,             0.94431,             0.96045,             0.66148,            0.023437,            0.013751,           0.0028795,            0.001288,            0.001288,            0.001288
                  90,            0.019894,           0.0097875,           0.0023602,             0.93816,              0.9489,             0.96029,             0.65887,            0.023268,             0.01365,           0.0029986,            0.001189,            0.001189,            0.001189
                  91,            0.020194,           0.0099947,           0.0026046,              0.9454,              0.9435,             0.95986,              0.6581,            0.023391,             0.01377,           0.0028058,             0.00109,             0.00109,             0.00109
                  92,             0.01989,           0.0099574,           0.0025714,             0.94437,             0.93685,             0.95716,             0.66105,             0.02345,            0.013805,           0.0029951,            0.000991,            0.000991,            0.000991
                  93,            0.019971,           0.0099424,           0.0026154,             0.95539,             0.93868,             0.96041,             0.66205,             0.02337,            0.013805,           0.0029321,            0.000892,            0.000892,            0.000892
                  94,             0.01992,           0.0098644,           0.0025076,             0.94855,             0.94469,             0.95929,             0.65977,            0.023356,            0.013763,           0.0029505,            0.000793,            0.000793,            0.000793
                  95,            0.019743,           0.0099459,           0.0024923,             0.95191,             0.94072,              0.9586,              0.6612,             0.02331,            0.013847,           0.0030472,            0.000694,            0.000694,            0.000694
                  96,            0.019615,            0.010003,           0.0024641,             0.94729,              0.9438,             0.95947,             0.65969,            0.023262,            0.013825,           0.0030722,            0.000595,            0.000595,            0.000595
                  97,            0.019655,           0.0097292,           0.0025838,             0.94676,             0.94762,             0.95976,              0.6615,            0.023251,            0.013777,           0.0029257,            0.000496,            0.000496,            0.000496
                  98,            0.019535,           0.0098952,           0.0024591,             0.94353,             0.94894,             0.96052,             0.66116,            0.023252,            0.013805,           0.0029519,            0.000397,            0.000397,            0.000397
                  99,            0.019538,           0.0098959,           0.0025273,             0.94795,             0.94724,             0.96243,             0.66445,            0.023207,            0.013716,           0.0029509,            0.000298,            0.000298,            0.000298
